09fa8	setlr
#1c64a   er6 = [ea+], qr8 = [ea+]
19e5a   er8=[ea+],rt

# Some SUB gadgets:
09e8a	er0-=er2,rt
29a40	er0-=er12,pop er8,pop er12,rt
09e98	r0-=1,rt
0ac5a	r0-=r8,pop er8,rt

# Some OR gadgets:
122d4	or r0,r1
1a5c2	or qr0,qr8

# Some SLL/SRL gadgets:
20830	r0 >> 4,rt
1bb28	qr0 >> 4,rt
1bb5c	r0 << 4,rt
1bb70	r1 << 4,rt
1bb5a	er0 << 4,rt
1bb56	xr0 << 4,rt
1bb4e	qr0 << 4,rt

# Some CMP gadgets:
0c790	er0 - er2_gt,r0 = 0 |r0 = 1,rt
09ae6	er0 - er2_eq,r0 = 0|r0=1,rt
0c7a8	er2 - er0_gt,r0 = 0 |r0 = 1,rt
2abda	er0 - er2_le,er0 = er2,rt
297e2	er8 - er0_lt,pop xr8
091ec	r0 - 0_lt,rt
091f4	r1 - 0_lt,rt

# Some MUL gadgets:
14bd4	er0*=r2,er2 = er0,er0+=er4,rt
14fca	er0*=r2,er0+=er6,er10 = er0,rt

# Some DIV gadgets:
28C54	er0/=r2,rt

16070 xr0=-xr0,rt

17bd8    [ea] = xr4
17bf8    [ea] = xr12, er2 = er14, r1 = 3
17cae    [ea+] = qr0, [ea+] = er8, rt
17e7a    r10 = r11
17e7c    r11 = 0
2245a    r0 = r12, r1 = 0, pop er12
1df54    er2 = er0, er0+=er0, er0+=er2, er6+=er0
1df9a    r5+= 1 
27fce    r7 = 0
09ff8    var_m = r0, rt
0a06a    [ea+] = er0, [ea] = r0, rt
0a07a    [ea+] = er2, [ea] = r2, rt
0a0a8    rt
#0a0da    setnormal    # a.k.a set 01 => 0xF00A (kbt đặt tên như nào)
0a0dc    setdelay    # r1 chứa value => st r1, F00A
0a11c    setcursor    # r0 chứa value => st r0, F031

0a562    r0 = r4, pop er4
0a594    er4+=1
0a598    er8+=1
0a908    er0 = er8, pop er4, pop er12, pop xr8, sp = er14, pop er14, rt
0a930    r0 >> 2        # SRL r0 , 2
0aa86    r10 = r6, r9 = r0
0aa88    r9 = r0
0aa8a    r6+=1
0ac58    r0 = r2, r0-=r8
0ac7a    er12 = 0
0acfa    r6=0
0b4e0    r5 = r0
0b684    er4 = er0
0bda2    er4 = er8, er6 = er2
0bda4    er6 = er2
0be30    er8-=1
0bf2e    er2+=1
1a5d0    or r7, r15
1a610    [ea+] = xr4
28c5a    er8 = er0, er10 = er2
28c5c    er10 = er2
272b8    r10 = 0
#find by me (Shakeswire)

# SP Pro
160c2	sp+=20
162d4	sp+=10
168f0	sp+=2
1d3c8	sp+=4
09932	sp+=6,pop qr8
13184	sp+=50,pop qr8
131f6	sp+=20,pop qr8
13320	sp+=30,pop qr8
15c76	sp+=30,pop er14
1d3f2	sp+=2,r0=0
1d798	sp+=20,pop xr12
21634	sp+=10,pop er12
21b9c	sp+=60,pop xr8  #big pdiddy
284ac	sp+=4,pop xr8
08f74	sp+=64,pop er6,pop qr8
098ec	sp+=4,pop qr8,pop xr4
13412	sp+=40,pop qr8,pop xr4
138a6	sp+=60,pop qr8,pop xr4
18266	sp+=50,pop qr8,pop xr4
193a0	sp+=50,pop xr4,pop qr8
202b0	sp+=120,pop qr8,pop xr4
20660	sp+=2,pop xr4,pop qr8
21b9a	sp+=120,pop xr8
26b12	sp+=2,r0=1,pop er8
2122a	sp+=32,r2=r0,pop xr8

27738   loop_from_buffer

#custom gadgets
18614  cmp_r0?

# BRK gadget
33030	brk

# Some other gadgets:
0d71c	[ea]+=1,r0=3
2c81e	[ea]-=1,pop xr4
24836	B LEAVE

# BL gadgets:
09450	BL memcpy,pop er0
203CC	BL strcpy
203E0	BL strcat
09D3A	BL memset,pop er2
23CAC	BL delay,pop xr0
20C40	BL line_print
23F62	BL printline
24004	BL hex_byte,er6 = er0,er0 = er8,pop qr8
20A50	BL smart_strcpy,pop er8
0A052	BL zero_KO
28AC2	BL line_draw
09AD4	BL render.ddd4
23dd0  BL line_print.col_0

# some ea gadgets:
09E96	[ea+]=r0,r0-=1,bne
09C20	cmp_ea
#09C20	ea_switchcase
#09C20	ea_dispatch

# special gadgets:
#17922   calc_func
16082   cvt_hex_1
160f8   cvt_hex_2
10f20   memcpy_length_rn/8
1700e   memcpy_length_rn/2, pop qr0

# pop pc
13324   pop pc(1:3324)
